"full_name","url","stars","forks","updated_at","language","license","category","relevance_tier","description"
"itsnex1s/MacClaw","https://github.com/itsnex1s/MacClaw","30","0","2026-02-26T22:34:48Z","TypeScript","MIT","panel-ui","B-medium","Raycast-style macOS client for OpenClaw"
"cft0808/edict","https://github.com/cft0808/edict","29","3","2026-02-26T19:31:29Z","HTML","MIT","panel-ui","B-medium","🏛️ 三省六部制 · OpenClaw Multi-Agent Orchestration System — 9 specialized AI agents with real-time dashboard, model config, and full audit trails"
"superglue-ai/clawguardian","https://github.com/superglue-ai/clawguardian","29","1","2026-02-23T22:25:53Z","TypeScript","MIT","security","B-medium","Security plugin for OpenClaw that detects and filters sensitive data in tool calls."
"jackculpan/flightclaw","https://github.com/jackculpan/flightclaw","28","3","2026-02-26T19:34:04Z","Python","","plugins-skills","B-medium","Track flight prices from Google Flights with this OpenClaw skill. Search routes, monitor prices, and get alerts when prices drop."
"jeffpierce/memory-palace","https://github.com/jeffpierce/memory-palace","28","4","2026-02-16T17:13:09Z","Python","MIT","plugins-skills","B-medium","Persistent memory system for agentic AI via MCP - remember, recall, forget with semantic search with knowledge graph"
"Lichas/maxclaw","https://github.com/Lichas/maxclaw","27","3","2026-02-27T03:04:03Z","Go","Apache-2.0","other","B-medium","OpenClaw-Style Local-First AI Agent in Go - Low-Memory, Private, UI-Ready, Out-of-the-Box"
"redf0x1/camofox-mcp","https://github.com/redf0x1/camofox-mcp","27","2","2026-02-26T20:17:43Z","TypeScript","MIT","plugins-skills","B-medium","Anti-detection browser MCP server for AI agents — navigate, interact, and automate the web without getting blocked"
"steadwing/openalerts","https://github.com/steadwing/openalerts","26","3","2026-02-26T05:46:20Z","TypeScript","Apache-2.0","other","B-medium","An alerting layer for agentic frameworks"
"ythx-101/openclaw-qa","https://github.com/ythx-101/openclaw-qa","26","1","2026-02-27T02:50:51Z","Python","","docs-cases","A-high","OpenClaw Q&A 社区 — AI Agent 记忆系统、多Agent架构、进化系统、具身AI | 龙虾茶馆 🦞"
"mduongvandinh/openclaw-cloudflare","https://github.com/mduongvandinh/openclaw-cloudflare","25","10","2026-02-24T09:32:40Z","TypeScript","","deployment","A-high","OpenClaw AI Code Review on Cloudflare"
"The-Swarm-Corporation/ClawSwarm","https://github.com/The-Swarm-Corporation/ClawSwarm","25","8","2026-02-26T19:11:46Z","Python","Apache-2.0","plugins-skills","B-medium","A smaller, lighter-weight version of OpenClaw—natively multi-agent, compiles to Rust, and built on the Swarms framework and Swarms ecosystem. One API, unified messaging across Telegram, Discord, and WhatsApp with optional Claude-powered reasoning. "
"giorgosn/openclaw-crm","https://github.com/giorgosn/openclaw-crm","25","3","2026-02-26T13:14:22Z","TypeScript","MIT","plugins-skills","A-high","The CRM your AI agent already knows how to use. Open-source, self-hosted, with native OpenClaw Bot integration."
